,Employment,AvgPrice,AvgWage,TotalInv,PriceStd,WageStd,InvStd,NumOpenPositions
0,0,25.0,1428.0,0.0,0.0,0.0,0.0,0
1,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
2,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
3,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
4,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
5,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
6,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
7,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
8,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
9,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
10,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
11,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
12,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
13,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
14,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
15,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
16,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
17,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
18,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
19,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
20,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
21,100,25.198027019059708,1428.0,300.0,0.1683145691147463,0.0,0.0,0
22,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
23,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
24,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
25,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
26,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
27,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
28,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
29,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
30,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
31,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
32,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
33,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
34,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
35,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
36,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
37,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
38,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
39,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
40,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
41,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
42,200,25.357456632953102,1428.0,600.0,0.2256914005741043,0.0,0.0,0
43,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
44,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
45,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
46,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
47,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
48,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
49,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
50,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
51,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
52,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
53,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
54,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
55,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
56,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
57,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
58,299,25.552460466616143,1428.0,897.0,0.2844340619955975,0.0,0.3,0
